"venue_short","sport_id","league_abbrev","team_id","spring_league_id","active_sw","division","mlb_org_brief","season","first_year_of_play","state","name_short","bis_team_code","venue_id","name_display_short","name_display_long","name_display_brief","sport_code_name","spring_league","league","division_id","sport_code","time_zone_num","mlb_org","name_display_full","all_star_sw","division_abbrev","name","home_opener","phone_number","address_zip","time_zone_text","venue_name","division_full","franchise_code","city","time_zone_alt","address_state","name_abbrev","store_url","file_code","address_line3","address_line2","address_province","mlb_org_id","address_line1","spring_league_full","spring_league_abbrev","last_year_of_play","address","league_full","address_country","base_url","time_zone","address_city","team_code","mlb_org_abbrev","address_intl","time_zone_generic","website_url","sport_code_display","home_opener_time","mlb_org_short","league_id"
"","1","NL","144","115","Y","E","Braves","2012","1871","GA","Atlanta","ATL","16","Atlanta","Atlanta Braves","Braves","MLB","GL","NL","204","mlb","","Atlanta Braves","Atlanta Braves","N","NLE","Braves","2012-04-13T00:00:00","(404) 522-7630","30315","","Turner Field","National League East","BS1","Atlanta","America/New_York","GA","ATL","","atl","","","","144","755 Hank Aaron Drive","Grapefruit League","GL","2023","755 Hank Aaron Drive&#xa;Atlanta, GA  30315","National League","","","ET","Atlanta","atl","ATL","N","ET","","Major League Baseball","7:35:00 PM","Atlanta","104"
"","15","NYP","458","","Y","P","Nationals","2012","1958","NY","Auburn","","2763","Auburn","Auburn Doubledays","Doubledays","A(Short)","","NYP","229","asx","","Washington Nationals","Auburn Doubledays","N","NYPP","Doubledays","2012-06-19T00:00:00","","13021","","Falcon Park","New York-Penn League Pinckney","","Auburn","","NY","AUB","","t458","","","","120","130 N. Division Street","","","2020","130 N. Division Street&#xa;Auburn, NY  13021","New York-Penn League","USA","","ET","Auburn","aub","WSH","N","ET","","Class A Short Season","7:05:00 PM","Washington","127"
"","14","SAL","478","","Y","S","Giants","2012","1946","GA","Augusta","","2798","Augusta","Augusta GreenJackets","GreenJackets","A(Full)","","SAL","238","afx","","San Francisco Giants","Augusta GreenJackets","N","SALS","GreenJackets","2012-04-12T00:00:00","","30904","","Lake Olmsted Stadium","South Atlantic League Southern","","Augusta","America/New_York","GA","AUG","","t478","","","","137","78 Milledge Road","","","2023","78 Milledge Road&#xa;Augusta, GA  30904","South Atlantic League","USA","","ET","Augusta","aug","SF","N","ET","","Class A","7:35:00 PM","San Francisco","116"
"","512","","2530","","Y","","","2012","2008","","Australia","","401","Australia","Australia","Australia","INTW","","","","naw","","","Australia","N","","Australia","","","","","TBD","","","United States","America/New_York","","AUS","","t2530","","","","","","","","2012","","","","","ET","","aus","","","ET","","International Baseball (Women's)","","",""
"","51","","761","","N","","","2012","2005","","Austria","","401","Austria","Austria","Austria","INT","","","","int","","","Austria","N","","Austria","","","","","TBD","","","United States","America/New_York","","AUT","","t761","","","","","","","","2023","","","","","ET","","aut","","","ET","","International Baseball","","",""
"","51","","762","","N","","","2012","2005","","Azerbaijan","","401","Azerbaijan","Azerbaijan","Azerbaijan","INT","","","","int","","","Azerbaijan","N","","Azerbaijan","","","","","TBD","","","United States","America/New_York","","AZE","","t762","","","","","","","","2023","","","","","ET","","aze","","","ET","","International Baseball","","",""
"","16","AZL","404","","Y","E","Angels","2012","1989","AZ","AZL Angels","","2775","AZL Angels","AZL Angels","AZL Angels","ROK","","AZL","560","rok","","Los Angeles Angels","AZL Angels","N","AZLE","AZL Angels","2012-06-20T00:00:00","","85215","","Gene Autry Park","Arizona League East","","Mesa","America/Phoenix","AZ","ANG","","t404","","","","108","4125 East McKellips Road","","","2023","4125 East McKellips Road&#xa;Mesa, AZ  85215","Arizona League","USA","","MST","Mesa","ang","LAA","N","MST","","Rookie","10:00:00 PM","LA Angels","121"
"","16","AZL","405","","N","E","Athletics","2012","1988","AZ","AZL Athletics","","2824","AZL Athletics","AZL Athletics","AZL Athletics","ROK","","AZL","560","rok","","Oakland Athletics","AZL Athletics","N","AZLE","AZL Athletics","2012-06-21T00:00:00","","85073","","Papago Sports Complex","Arizona League East","","Phoenix","","AZ","ATH","","t405","","","","133","1802 N. 64th St.","","","2020","1802 N. 64th St.&#xa;Phoenix, AZ  85073","Arizona League","USA","","MST","Phoenix","ath","OAK","N","MST","","Rookie","10:00:00 PM","Oakland","121"
"","16","AZL","406","","Y","C","Brewers","2012","1988","AZ","AZL Brewers","","2805","AZL Brewers","AZL Brewers","AZL Brewers","ROK","","AZL","570","rok","","Milwaukee Brewers","AZL Brewers","N","AZLC","AZL Brewers","2012-06-21T00:00:00","","85031","","Maryvale Baseball Complex","Arizona League Central","","Phoenix","","AZ","BRE","","t406","","","","158","3600 North 51st Avenue","","","2023","3600 North 51st Avenue&#xa;Phoenix, AZ  85031","Arizona League","USA","","MST","Phoenix","brr","MIL","N","MST","","Rookie","10:00:00 PM","Milwaukee","121"
"","16","AZL","407","","Y","E","Cubs","2012","1997","AZ","AZL Cubs","","2770","AZL Cubs","AZL Cubs","AZL Cubs","ROK","","AZL","560","rok","","Chicago Cubs","AZL Cubs","N","AZLE","AZL Cubs","2012-06-20T00:00:00","","85211","","Fitch Park","Arizona League East","","Mesa","","AZ","CUB","","t407","","","","112","651 N. Center","","","2023","651 N. Center&#xa;Mesa, AZ  85211","Arizona League","USA","","MST","Mesa","cub","CHC","N","MST","","Rookie","10:00:00 PM","Chi Cubs","121"
"","16","AZL","2690","","N","C","Dodgers","2012","2009","AZ","AZL Dodgers","","3809","AZL Dodgers","AZL Dodgers","AZL Dodgers","ROK","","AZL","570","rok","","Los Angeles Dodgers","AZL Dodgers","N","AZLC","AZL Dodgers","2012-06-22T00:00:00","(623) 842-6000","85037","","Camelback Ranch","Arizona League Central","","Glendale","America/Phoenix","AZ","DOD","","t2690","","10710 W. Camelback Ranch","","119","Camelback Ranch","","","2020","Camelback Ranch&#xa;10710 W. Camelback Ranch&#xa;Glendale, AZ  85037","Arizona League","USA","","MST","Glendale","dod","LAD","N","MST","","Rookie","10:00:00 PM","LA Dodgers","121"
"","16","AZL","408","","Y","E","Giants","2012","1991","AZ","AZL Giants","","2532","AZL Giants","AZL Giants","AZL Giants","ROK","","AZL","560","rok","","San Francisco Giants","AZL Giants","N","AZLE","AZL Giants","2012-06-22T00:00:00","(480) 312-2586","85251","","Scottsdale Stadium","Arizona League East","","Scottsdale","America/Phoenix","AZ","GIA","","t408","","7408 East Osborn Road","","137","Scottsdale Stadium","","","2023","Scottsdale Stadium&#xa;7408 East Osborn Road&#xa;Scottsdale, AZ  85251","Arizona League","USA","","MST","Scottsdale","gia","SF","N","MST","","Rookie","10:00:00 PM","San Francisco","121"
"","16","AZL","2770","","N","C","Guardians","2012","2009","AZ","AZL Indians","","3809","AZL Indians","AZL Indians","AZL Indians","ROK","","AZL","570","rok","","Cleveland Guardians","AZL Indians","N","AZLC","AZL Indians","2012-06-20T00:00:00","(623) 842-6000","85037","","Camelback Ranch","Arizona League Central","","Glendale","America/Phoenix","AZ","IND","","t2770","","10710 W. Camelback Ranch","","114","Camelback Ranch","","","2020","Camelback Ranch&#xa;10710 W. Camelback Ranch&#xa;Glendale, AZ  85037","Arizona League","USA","","MST","Glendale","cle","CLE","N","MST","","Rookie","10:00:00 PM","Cleveland","121"
"","16","AZL","409","","Y","W","Mariners","2012","1989","AZ","AZL Mariners","","2530","AZL Mariners","AZL Mariners","AZL Mariners","ROK","","AZL","561","rok","","Seattle Mariners","AZL Mariners","N","AZLW","AZL Mariners","2012-06-20T00:00:00","(623) 878-4337","85382","","Peoria Stadium","Arizona League West","","Peoria","America/Phoenix","AZ","MAR","","t409","","16101 N 83rd Avenue","","136","Peoria Sports Complex","","","2023","Peoria Sports Complex&#xa;16101 N 83rd Avenue&#xa;Peoria, AZ  85382","Arizona League","USA","","MST","Peoria","mrn","SEA","N","MST","","Rookie","10:00:00 PM","Seattle","121"
"","16","AZL","410","","Y","W","Padres","2012","1988","AZ","AZL Padres","","2530","AZL Padres","AZL Padres","AZL Padres","ROK","","AZL","561","rok","","San Diego Padres","AZL Padres","N","AZLW","AZL Padres","2012-06-22T00:00:00","(623) 878-4337","85382","","Peoria Stadium","Arizona League West","","Peoria","America/Phoenix","AZ","PAD","","t410","","16101 N 83rd Avenue","","135","Peoria Sports Complex","","","2023","Peoria Sports Complex&#xa;16101 N 83rd Avenue&#xa;Peoria, AZ  85382","Arizona League","USA","","MST","Peoria","pdr","SD","N","MST","","Rookie","1:30:00 PM","San Diego","121"
"","16","AZL","411","","Y","W","Rangers","2012","2003","AZ","AZL Rangers","","2603","AZL Rangers","AZL Rangers","AZL Rangers","ROK","","AZL","561","rok","","Texas Rangers","AZL Rangers","N","AZLW","AZL Rangers","2012-06-20T00:00:00","(623) 222-2222","85374","","Surprise Stadium","Arizona League West","","Surprise","America/Phoenix","AZ","RAN","","t411","","15960 N Bullard Avenue","","140","Surprise Stadium","","","2023","Surprise Stadium&#xa;15960 N Bullard Avenue&#xa;Surprise, AZ  85374","Arizona League","USA","","MST","Surprise","rng","TEX","N","MST","","Rookie","10:00:00 PM","Texas","121"
"","16","AZL","3430","","Y","C","Reds","2012","2010","AZ","AZL Reds","","3834","AZL Reds","AZL Reds","AZL Reds","ROK","","AZL","570","rok","","Cincinnati Reds","AZL Reds","N","AZLC","AZL Reds","2012-06-21T00:00:00","(623) 882-3120","85338","","Goodyear Ballpark","Arizona League Central","","Goodyear","America/Phoenix","AZ","RED","","t3430","","1933 S Ballpark Way","","113","Goodyear Ballpark","","","2023","Goodyear Ballpark&#xa;1933 S Ballpark Way&#xa;Goodyear, AZ  85338","Arizona League","USA","","MST","Goodyear","cin","CIN","N","MST","","Rookie","10:00:00 PM","Cincinnati","121"
"","16","AZL","412","","Y","W","Royals","2012","2003","AZ","AZL Royals","","2603","AZL Royals","AZL Royals","AZL Royals","ROK","","AZL","561","rok","","Kansas City Royals","AZL Royals","N","AZLW","AZL Royals","2012-06-23T00:00:00","(623) 222-2222","85374","","Surprise Stadium","Arizona League West","","Surprise","America/Phoenix","AZ","ROY","","t412","","15960 N Bullard Avenue","","118","Surprise Stadium","","","2023","Surprise Stadium&#xa;15960 N Bullard Avenue&#xa;Surprise, AZ  85374","Arizona League","USA","","MST","Surprise","roy","KC","N","MST","","Rookie","10:00:00 PM","Kansas City","121"
"","22","CBB","1553","","N","","OOC","2012","2007","","Azusa Pacific","","401","Azusa Pacific","Azusa Pacific Cougars","Cougars","College","","CBB","","bbc","","Office of the Commissioner","Azusa Pacific Cougars","N","","Cougars","","","","","TBD","","","United States","America/New_York","","AP","","t1553","","","","11","","","","2016","","College Baseball","","","ET","","apu","OOC","","ET","","College Baseball","","OOC","107"
"","51","","763","","N","","","2012","2005","","Bahamas","","401","Bahamas","Bahamas","Bahamas","INT","","","","int","","","Bahamas","N","","Bahamas","","","","","TBD","","","United States","America/New_York","","BAH","","t763","","","","","","","","2023","","","","","ET","","bah","","","ET","","International Baseball","","",""
"","51","","764","","N","","","2012","2005","","Bahrain","","401","Bahrain","Bahrain","Bahrain","INT","","","","int","","","Bahrain","N","","Bahrain","","","","","TBD","","","United States","America/New_York","","BRN","","t764","","","","","","","","2023","","","","","ET","","brn","","","ET","","International Baseball","","",""
"","13","CAL","423","","N","N","Reds","2012","1946","CA","Bakersfield","","2841","Bakersfield","Bakersfield Blaze","Blaze","A(Adv)","","CAL","208","afa","","Cincinnati Reds","Bakersfield Blaze","N","CALN","Blaze","2012-04-05T00:00:00","","93301","","Sam Lynn Ballpark","California League North","","Bakersfield","America/Los_Angeles","CA","BAK","","t423","","","","113","4009 Chester Avenue","","","2016","4009 Chester Avenue&#xa;Bakersfield, CA  93301","California League","USA","","PT","Bakersfield","bak","CIN","N","PT","","Class A Advanced","10:15:00 PM","Cincinnati","110"
"Camden Yards","1","AL","110","115","Y","E","Orioles","2012","1901","MD","Baltimore","BAL","2","Baltimore","Baltimore Orioles","Orioles","MLB","GL","AL","201","mlb","","Baltimore Orioles","Baltimore Orioles","N","ALE","Orioles","2012-04-06T00:00:00","(410) 685-9800","21201","","Oriole Park at Camden Yards","American League East","MLA","Baltimore","America/New_York","MD","BAL","","bal","","","","110","333 West Camden Street","Grapefruit League","GL","2023","333 West Camden Street&#xa;Baltimore, MD  21201","American League","","","ET","Baltimore","bal","BAL","N","ET","","Major League Baseball","3:05:00 PM","Baltimore","103"
"","51","","765","","N","","","2012","2005","","Bangladesh","","401","Bangladesh","Bangladesh","Bangladesh","INT","","","","int","","","Bangladesh","N","","Bangladesh","","","","","TBD","","","United States","America/New_York","","BAN","","t765","","","","","","","","2023","","","","","ET","","ban","","","ET","","International Baseball","","",""
"","51","","766","","N","","","2012","2005","","Barbados","","401","Barbados","Barbados","Barbados","INT","","","","int","","","Barbados","N","","Barbados","","","","","TBD","","","United States","America/New_York","","BAR","","t766","","","","","","","","2023","","","","","ET","","bar","","","ET","","International Baseball","","",""
"","15","NYP","511","","Y","P","Cardinals","2012","1939","NY","Batavia","","2758","Batavia","Batavia Muckdogs","Muckdogs","A(Short)","","NYP","229","asx","","St. Louis Cardinals","Batavia Muckdogs","N","NYPP","Muckdogs","2012-06-18T00:00:00","","14020","","Dwyer Stadium","New York-Penn League Pinckney","","Batavia","","NY","BAT","","t511","","","","138","299 Bank Street","","","2020","299 Bank Street&#xa;Batavia, NY  14020","New York-Penn League","USA","","ET","Batavia","bat","STL","N","ET","","Class A Short Season","7:05:00 PM","St. Louis","127"
"","22","CBB","3033","","Y","","OOC","2012","2009","","Baylor","","401","Baylor","Baylor Bears","Bears","College","","CBB","","bbc","","Office of the Commissioner","Baylor Bears","N","","Bears","","","","","TBD","","","United States","America/New_York","","BU","","t3033","","","","11","","","","2023","","College Baseball","","","ET","","bay","OOC","","ET","","College Baseball","","OOC","107"
"","51","","767","","N","","","2012","2005","","Belarus","","401","Belarus","Belarus","Belarus","INT","","","","int","","","Belarus","N","","Belarus","","","","","TBD","","","United States","America/New_York","","BLR","","t767","","","","","","","","2023","","","","","ET","","blr","","","ET","","International Baseball","","",""
"","51","","768","","N","","","2012","2005","","Belgium","","401","Belgium","Belgium","Belgium","INT","","","","int","","","Belgium","N","","Belgium","","","","","TBD","","","United States","America/New_York","","BEL","","t768","","","","","","","","2023","","","","","ET","","bel","","","ET","","International Baseball","","",""
"","51","","769","","N","","","2012","2005","","Belize","","401","Belize","Belize","Belize","INT","","","","int","","","Belize","N","","Belize","","","","","TBD","","","United States","America/New_York","","BIZ","","t769","","","","","","","","2023","","","","","ET","","biz","","","ET","","International Baseball","","",""
"","14","MID","554","","Y","W","Twins","2012","1982","WI","Beloit","","2831","Beloit","Beloit Snappers","Snappers","A(Full)","","MID","225","afx","","Minnesota Twins","Beloit Snappers","N","MIDW","Snappers","2012-04-05T00:00:00","","53511","","Pohlman Field","Midwest League Western","","Beloit","America/Chicago","WI","BEL","","t554","","","","142","2301 Skyline Drive","","","2023","2301 Skyline Drive&#xa;Beloit, WI  53511","Midwest League","USA","","CT","Beloit","bel","MIN","N","CT","","Class A","7:30:00 PM","Minnesota","118"
"","51","","770","","N","","","2012","2005","","Benin","","401","Benin","Benin","Benin","INT","","","","int","","","Benin","N","","Benin","","","","","TBD","","","United States","America/New_York","","BEN","","t770","","","","","","","","2023","","","","","ET","","ben","","","ET","","International Baseball","","",""
